collision_severity,road_type,speed_limit,urban_or_rural_area,junction_detail,junction_control,light_conditions,weather_conditions,road_surface_conditions,carriageway_hazards,number_of_vehicles,number_of_casualties,vehicle_type_mode,any_skidding,avg_vehicle_age,time_sin,time_cos,day_sin,day_cos,speed_x_area
3,1,30,1,0,4,1,1,1,0,2,1,9,0,8.5,-0.5187732581605212,-0.8549118706729467,-0.9749279121818236,-0.2225209339563146,30
3,6,60,2,0,-1,1,1,1,0,2,2,9,0,6.5,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,120
3,3,70,2,0,-1,6,1,1,0,2,1,9,0,4.5,-0.043619387365335306,0.9990482215818578,0.43388373911755823,-0.900968867902419,140
3,1,30,1,0,-1,4,2,2,0,2,3,9,0,2.5,-0.9914448613738104,-0.13052619222005163,-0.7818314824680299,0.6234898018587334,30
3,6,30,1,13,4,1,1,1,0,2,1,1,0,3.5,0.32143946530316175,-0.9469301294951056,-0.9749279121818236,-0.2225209339563146,30
3,6,30,1,0,-1,4,5,2,0,2,1,9,0,14.5,-0.9990482215818578,0.043619387365335764,-0.7818314824680299,0.6234898018587334,30
3,6,30,1,0,-1,1,1,1,0,2,1,1,0,1.0,0.3826834323650899,-0.9238795325112867,0.9749279121818236,-0.22252093395631434,30
2,1,30,1,0,2,4,1,1,0,2,1,1,0,1.5,0.9914448613738104,0.1305261922200517,0.9749279121818236,-0.22252093395631434,30
3,6,30,1,13,4,4,1,1,0,2,2,9,0,8.5,-0.056692787563376965,-0.9983916705573489,0.9749279121818236,-0.22252093395631434,30
3,6,30,1,0,-1,4,1,1,0,1,1,9,1,16.0,0.9914448613738105,-0.13052619222005138,-2.4492935982947064e-16,1.0,30
3,6,30,1,13,4,4,1,1,0,1,1,9,0,10.0,-0.9914448613738104,0.13052619222005213,-0.433883739117558,-0.9009688679024191,30
2,6,30,1,16,2,1,2,2,0,5,2,9,0,7.4,-0.34202014332566866,-0.9396926207859084,-0.7818314824680299,0.6234898018587334,30
3,6,30,1,0,-1,1,1,1,0,2,1,9,0,-0.5,0.7798844830928817,-0.6259234721840591,-0.7818314824680299,0.6234898018587334,30
2,3,30,1,13,4,1,1,1,0,2,2,9,0,4.0,0.763232469782529,-0.6461239796429636,-0.9749279121818236,-0.2225209339563146,30
3,6,60,2,0,-1,1,7,4,0,2,1,9,0,8.5,0.7933533402912352,-0.6087614290087207,-0.9749279121818236,-0.2225209339563146,120
3,6,30,1,19,4,4,1,1,0,2,4,9,0,9.5,-0.8457278217039731,0.5336145159156118,0.7818314824680298,0.6234898018587336,30
3,6,40,2,19,4,1,1,1,0,3,2,9,0,7.666666666666667,-0.8968727415326884,0.442288690219001,-0.7818314824680299,0.6234898018587334,80
3,6,30,1,16,4,1,1,1,0,2,2,9,0,6.5,0.8433914458128858,-0.5372996083468236,0.43388373911755823,-0.900968867902419,30
